CustomerID,Probability of Churning
9399-APLBT,0.724
7493-TPUWZ,0.724
4274-OWWYO,0.724
5196-SGOAK,0.724
3765-JXVKY,0.724
9223-UCPVT,0.722
6857-VWJDT,0.721
2545-EBUPK,0.721
6474-FVJLC,0.721
8086-OVPWV,0.721
4713-LZDRV,0.721
9507-EXLTT,0.719
4806-HIPDW,0.717
6416-TVAIH,0.717
3178-FESZO,0.716
1143-NMNQJ,0.716
9878-TNQGW,0.716
6960-HVYXR,0.716
8775-ERLNB,0.715
2013-SGDXK,0.709
3746-EUBYR,0.709
3177-LASXD,0.708
7153-OANIO,0.708
1915-IOFGU,0.708
4759-TRPLW,0.708
0754-UKWQP,0.707
1086-LXKFY,0.707
2254-DLXRI,0.706
1977-STDKI,0.706
0137-OCGAB,0.706
0742-NXBGR,0.705
0259-GBZSH,0.705
4529-CKBCL,0.705
9689-PTNPG,0.705
4234-XTNEA,0.705
3296-SILRA,0.705
0220-EBGCE,0.703
7908-QCBCA,0.703
3801-HMYNL,0.702
4695-WJZUE,0.702
1981-INRFU,0.7
5277-ZLOOR,0.699
0235-KGSLC,0.698
3049-NDXFL,0.697
1618-CFHME,0.695
7817-BOQPW,0.695
5186-SAMNZ,0.695
0637-KVDLV,0.695
5150-ITWWB,0.692
5567-WSELE,0.692
3871-IKPYH,0.691
8040-MNRTF,0.69
5583-SXDAG,0.69
0151-ONTOV,0.69
5940-AHUHD,0.69
2262-SLNVK,0.69
0519-XUZJU,0.69
9940-RHLFB,0.689
5043-TRZWM,0.689
9444-JTXHZ,0.689
6910-HADCM,0.689
8943-URTMR,0.687
5884-GCYMI,0.687
9546-CQJSU,0.686
3097-NQYSN,0.686
4927-WWOOZ,0.686
2074-GKOWZ,0.686
3006-XIMLN,0.686
9840-EFJQB,0.685
0812-WUPTB,0.685
0511-JTEOY,0.685
7595-EUIVN,0.685
6275-YDUVO,0.684
6086-ESGRL,0.684
5167-ZFFMM,0.683
2856-HYAPG,0.683
4750-ZRXIU,0.682
4110-PFEUZ,0.682
2737-YNGYW,0.681
9057-SIHCH,0.68
3049-SOLAY,0.68
7314-OXENN,0.679
3422-GALYP,0.679
4770-UEZOX,0.679
5804-LEPIM,0.678
7321-VGNKU,0.678
6877-TJMBR,0.678
7394-LWLYN,0.678
2761-OCIAX,0.678
5159-YFPKQ,0.677
6856-RAURS,0.677
4086-YQSNZ,0.676
1304-NECVQ,0.676
8183-ONMXC,0.676
7235-NXZCP,0.676
9317-WZPGV,0.675
3318-NMQXL,0.674
7198-GLXTC,0.674
5564-NEMQO,0.672
3721-CNEYS,0.672
3489-HHPFY,0.672
2516-VQRRV,0.671
4806-KEXQR,0.67
8593-WHYHV,0.67
9897-KXHCM,0.67
0697-ZMSWS,0.67
4210-QFJMF,0.67
4501-EQDRN,0.669
6356-ELRKD,0.669
6161-UUUTA,0.668
7218-HKQFK,0.668
2880-FPNAE,0.668
9717-QEBGU,0.666
8835-VSDSE,0.666
4342-HENTK,0.666
1197-BVMVG,0.666
8258-GSTJK,0.666
7576-OYWBN,0.666
0684-AOSIH,0.665
2789-HQBOU,0.665
9894-EZEWG,0.665
5349-IECLD,0.664
2959-MJHIC,0.664
5644-PDMZC,0.664
6357-JJPQT,0.663
8752-STIVR,0.663
7228-OMTPN,0.663
1273-MTETI,0.663
9944-HKVVB,0.663
9837-BMCLM,0.663
2612-RRIDN,0.663
1678-FYZOW,0.663
1320-HTRDR,0.661
6023-YEBUP,0.661
9306-CPCBC,0.661
1724-BQUHA,0.66
1374-DMZUI,0.66
8098-LLAZX,0.66
0722-TROQR,0.66
2737-WFVYW,0.659
1393-IMKZG,0.659
7488-MXJIV,0.658
6350-XFYGW,0.658
4929-XIHVW,0.657
1400-MMYXY,0.656
6496-SLWHQ,0.656
4090-KPJIP,0.656
8414-MYSHR,0.655
5835-BEQEU,0.654
3519-ZKXGG,0.654
4749-OJKQU,0.654
4581-SSPWD,0.654
8443-ZRDBZ,0.654
4228-ZGYUW,0.653
4951-UKAAQ,0.653
9231-ZJYAM,0.652
9611-CTWIH,0.652
1084-UQCHV,0.651
2865-TCHJW,0.651
8348-HFYIV,0.651
8361-LTMKD,0.65
9050-IKDZA,0.65
0334-GDDSO,0.649
7341-LXCAF,0.649
7181-BQYBV,0.649
0822-GAVAP,0.648
3295-YVUSR,0.648
6630-UJZMY,0.648
4482-EWFMI,0.647
3420-YJLQT,0.647
2080-GKCWQ,0.647
6892-EZDTG,0.647
4192-GORJT,0.646
9134-CEQMF,0.646
0187-QSXOE,0.646
9681-OXGVC,0.646
4273-MBHYA,0.645
8884-ADFVN,0.644
0781-LKXBR,0.644
2012-NWRPA,0.644
3319-DWOEP,0.644
4548-SDBKE,0.641
2485-ITVKB,0.641
4847-TAJYI,0.641
5276-KQWHG,0.641
6060-DRTNL,0.64
0231-LXVAP,0.639
3091-FYHKI,0.639
2462-XIIJB,0.639
1704-NRWYE,0.639
0841-NULXI,0.639
6229-LSCKB,0.639
0390-DCFDQ,0.639
4822-RVYBB,0.639
4145-UQXUQ,0.639
5956-VKDTT,0.638
7598-UAASY,0.637
8413-VONUO,0.637
2123-AGEEN,0.637
5561-NWEVX,0.637
1746-TGTWV,0.637
9747-DDZOS,0.636
4140-MUHUG,0.636
5712-PTIWW,0.636
7563-BIUPC,0.635
4585-HETAI,0.635
7450-NWRTR,0.635
8739-XNIKG,0.635
5119-NZPTV,0.635
9274-CNFMO,0.635
0702-PGIBZ,0.635
7398-SKNQZ,0.634
8161-QYMTT,0.634
4633-MKHYU,0.634
7526-BEZQB,0.634
2990-HWIML,0.634
2982-VPSGI,0.634
5380-AFSSK,0.633
4626-GYCZP,0.633
7209-JCUDS,0.632
0325-XBFAC,0.632
6108-OQZDQ,0.632
5919-TMRGD,0.632
2929-ERCFZ,0.632
7548-SEPYI,0.632
2968-SSGAA,0.632
6221-AVQYL,0.632
8357-EQXFO,0.632
7568-PODML,0.632
2656-TABEH,0.632
8779-QRDMV,0.631
9061-TIHDA,0.631
9696-RMYBA,0.631
2920-RNCEZ,0.631
6969-MVBAI,0.631
0004-TLHLJ,0.63
5729-KLZAR,0.63
7823-JSOAG,0.63
6861-XWTWQ,0.63
5442-BHQNG,0.629
7074-IEVOJ,0.629
9799-CAYJJ,0.629
5318-IXUZF,0.629
4629-NRXKX,0.629
0685-MLYYM,0.629
2897-DOVND,0.629
2868-SNELZ,0.629
7943-RQCHR,0.629
2660-EMUBI,0.628
7379-POKDZ,0.628
6077-BDPXA,0.628
3717-OEAUQ,0.628
6407-UTSLV,0.628
3389-YGYAI,0.627
6979-ZNSFF,0.627
2691-NZETQ,0.627
6437-UKHMV,0.627
4078-SAYYN,0.627
1455-UGQVH,0.627
2215-ZAFGX,0.627
6110-OHIHY,0.627
7903-CMPEY,0.627
2674-MIAHT,0.627
6376-GAHQE,0.627
1925-TIBLE,0.626
7156-MHUGY,0.626
3902-FOIGH,0.626
8083-YTZES,0.626
1122-JWTJW,0.626
6941-PMGEP,0.625
4952-YSOGZ,0.625
1173-XZPYF,0.625
9237-HQITU,0.625
3583-EKAPL,0.625
4285-GYRQC,0.625
3198-VELRD,0.625
2800-VEQXM,0.625
9822-OAOVB,0.625
3063-QFSZL,0.625
5565-FILXA,0.624
7330-WZLNC,0.624
2688-BHGOG,0.623
9391-EOYLI,0.623
3370-HXOPH,0.623
1602-IJQQE,0.623
8972-HJWNV,0.623
8058-JMEQO,0.623
9965-YOKZB,0.623
9290-SHCMB,0.623
7779-LGOVN,0.623
0925-VYDLG,0.623
2984-AFWNC,0.623
7571-YXDAD,0.623
5288-AHOUP,0.623
4884-ZTHVF,0.622
2055-PDADH,0.622
8992-JQYUN,0.622
5445-UTODQ,0.622
0375-HVGXO,0.622
2260-USTRB,0.622
1184-PJVDB,0.622
3398-FSHON,0.622
7613-LLQFO,0.621
0564-JJHGS,0.621
4112-LUEIZ,0.621
6168-WFVVF,0.62
0644-OQMDK,0.62
7044-YAACC,0.62
2905-KFQUV,0.62
6689-TCZHQ,0.62
4395-PZMSN,0.62
7938-OUHIO,0.62
9633-XQABV,0.62
1624-NALOJ,0.62
0674-EYYZV,0.619
0236-HFWSV,0.619
6986-IXNDM,0.619
6918-UMQCG,0.619
5909-ECHUI,0.618
2645-QTLMB,0.618
2642-DTVCO,0.618
0195-IESCP,0.618
2424-WVHPL,0.618
6688-UZPWD,0.618
8931-GJJIQ,0.618
0897-FEGMU,0.618
9402-ORRAH,0.617
0680-DFNNY,0.617
8245-UMPYT,0.617
2077-MPJQO,0.616
5519-NPHVG,0.616
5570-PTWEH,0.616
6860-YRJZP,0.616
2446-BEGGB,0.616
0923-PNFUB,0.616
2672-HUYVI,0.616
0880-TKATG,0.616
7130-VTEWQ,0.616
8699-ASUFO,0.616
8225-BTJAU,0.615
1980-KXVPM,0.615
5501-TVMGM,0.615
4450-DLLMH,0.615
5299-SJCZT,0.615
1075-BGWOH,0.615
6702-OHFWR,0.615
6772-KSATR,0.614
2135-DQWAQ,0.614
3750-CKVKH,0.614
1564-NTYXF,0.614
0013-EXCHZ,0.614
0947-IDHRQ,0.613
0225-ZORZP,0.613
8087-LGYHQ,0.613
2180-DXNEG,0.613
7249-WBIYX,0.613
8687-BAFGU,0.613
3727-RJMEO,0.613
7638-QVMVY,0.613
7538-GWHML,0.613
8337-UPOAQ,0.613
5378-IKEEG,0.612
1389-CXMLU,0.612
4115-NZRKS,0.612
8676-TRMJS,0.612
4929-BSTRX,0.612
3488-PGMQJ,0.612
2386-LAHRK,0.612
3793-MMFUH,0.612
7394-FKDNK,0.612
3776-EKTKM,0.612
3338-CVVEH,0.611
4282-YMKNA,0.611
8382-SHQEH,0.611
6000-APYLU,0.611
0872-NXJYS,0.611
1579-KLYDT,0.611
7858-GTZSP,0.611
3834-XUIFC,0.611
6711-FLDFB,0.611
7363-QTBIW,0.611
9451-LPGOO,0.611
4029-HPFVY,0.61
3462-BJQQA,0.61
8780-IXSTS,0.61
0746-JTRFU,0.61
2379-ENZGV,0.61
5949-XIKAE,0.61
2815-CPTUL,0.61
0196-VULGZ,0.609
2276-YDAVZ,0.609
5889-LFOLL,0.609
6424-ELEYH,0.609
5685-IIXLY,0.609
3074-GQWYX,0.609
8325-QRPZR,0.609
3138-BKYAV,0.609
9850-OWRHQ,0.609
1508-DFXCU,0.608
5673-FSSMF,0.608
8242-SOQUO,0.608
1567-DSCIC,0.608
9685-WKZGT,0.608
0689-NKYLF,0.608
9957-YODKZ,0.607
7508-MYBOG,0.607
6015-VVHHE,0.607
6127-ISGTU,0.607
9560-ARGQJ,0.607
5832-XKAES,0.607
0345-HKJVM,0.607
0722-SVSFK,0.606
3753-TSEMP,0.606
4439-JMPMT,0.606
5868-YWPDW,0.606
3143-JQEGI,0.606
3249-ZPQRG,0.606
5383-MMTWC,0.605
4795-KTRTH,0.605
9565-DJPIB,0.605
2468-SJFLM,0.605
1867-BDVFH,0.604
3811-VBYBZ,0.604
8065-YKXKD,0.604
7625-XCQRH,0.604
4229-CZMLL,0.604
7861-UVUFT,0.604
0840-DFEZH,0.604
1024-VRZHF,0.604
5652-MSDEY,0.604
0122-OAHPZ,0.604
8185-UPYBR,0.604
4514-GFCFI,0.604
7354-OIJLX,0.604
5928-QLDHB,0.604
6347-DCUIK,0.604
7245-NIIWQ,0.603
3217-FZDMN,0.603
5442-UTCVD,0.603
2969-QWUBZ,0.603
6615-NGGZJ,0.603
3877-JRJIP,0.603
9334-GWGOW,0.602
6339-YPSAH,0.602
3317-VLGQT,0.602
6260-ONULR,0.602
1740-CSDJP,0.602
6101-IMRMM,0.602
8999-BOHSE,0.602
0432-CAJZV,0.602
1569-TTNYJ,0.601
1334-FJSVR,0.601
2454-RPBRZ,0.601
5399-ZIMKF,0.601
2272-QAGFO,0.601
4143-OOBWZ,0.601
1200-TUZHR,0.601
0329-GTIAJ,0.601
1768-ZAIFU,0.601
7365-BVCJH,0.601
0023-HGHWL,0.601
2754-VDLTR,0.601
4631-OACRM,0.6
2114-MGINA,0.6
1941-HOSAM,0.6
6175-IRFIT,0.6
2952-QAYZF,0.599
6734-GMPVK,0.599
7767-UXAGJ,0.599
2018-QKYGT,0.599
2205-YMZZJ,0.599
6519-CFDBX,0.599
0011-IGKFF,0.599
5028-GZLDO,0.598
5229-PRWKT,0.598
4290-BSXUX,0.598
4512-ZUIYL,0.598
2027-FECZV,0.598
9221-OTIVJ,0.598
6629-CZTTH,0.597
1965-AKTSX,0.597
9846-GKXAS,0.597
4587-VVTOX,0.597
0620-DLSLK,0.597
3387-VATUS,0.597
4074-SJFFA,0.597
2265-CYWIV,0.596
8714-CTZJW,0.596
3643-AHCFP,0.596
1450-GALXR,0.596
5701-YVSVF,0.596
9250-WYPLL,0.596
1226-IENZN,0.596
3247-ZVOUO,0.596
1236-WFCDV,0.596
5442-XSDCW,0.596
6198-ZFIOJ,0.596
0655-RBDUG,0.595
6326-MTTXK,0.595
0928-XUTSN,0.595
2845-HSJCY,0.595
2081-VEYEH,0.595
9840-DVNDC,0.595
6496-JDSSB,0.595
8808-ELEHO,0.595
6087-MVHJH,0.595
3677-IYRBF,0.594
5429-LWCMV,0.594
7932-WPTDS,0.594
4317-VTEOA,0.594
8132-YPVBX,0.594
3797-VTIDR,0.594
7517-LDMPS,0.594
7005-CCBKV,0.594
1024-GUALD,0.594
3671-SHRSP,0.593
3320-VEOYC,0.593
8844-TONUD,0.593
3621-CEOVK,0.593
1285-OKIPP,0.592
2876-GZYZC,0.592
3045-XETSH,0.592
1960-UYCNN,0.592
2026-TGDHM,0.592
5293-WXJAK,0.591
2672-DZUOY,0.591
6993-OHLXR,0.591
3585-ISXZP,0.59
3199-XGZCY,0.59
3030-YDNRM,0.59
3411-WLRSQ,0.59
5095-AESKG,0.59
2754-XBHTB,0.59
3186-BAXNB,0.59
5569-KGJHX,0.59
9095-HFAFX,0.59
1219-NNDDO,0.59
5348-CAGXB,0.59
4277-PVRAN,0.59
2983-ZANRP,0.59
7234-FECYN,0.59
1195-OIYEJ,0.589
0248-IPDFW,0.589
4636-QRJKY,0.589
5899-MQZZL,0.589
4763-PGDPO,0.589
3315-TOTBP,0.589
6608-QQLVK,0.589
4855-SNKMY,0.589
2369-UAPKZ,0.589
2082-CEFLT,0.589
2740-TVLFN,0.589
9828-AOQLM,0.589
8356-WUAOJ,0.589
6680-WKXRZ,0.588
5228-EXCET,0.588
3420-ZDBMA,0.588
2754-SDJRD,0.588
9588-OZDMQ,0.588
4816-JBHOV,0.588
3754-DXMRT,0.588
3966-HRMZA,0.587
5035-BVCXS,0.587
7379-FNIUJ,0.587
8107-KNCIM,0.587
1428-GTBJJ,0.587
2568-BRGYX,0.587
0258-NOKBL,0.587
5760-IFJOZ,0.586
3070-DVEYC,0.586
6435-SRWBJ,0.585
0302-JOIVN,0.585
0871-URUWO,0.585
4441-NIHPT,0.585
4301-VVZKA,0.585
0508-OOLTO,0.585
0727-IWKVK,0.585
6210-KBBPI,0.585
8873-GLDMH,0.585
8266-VBFQL,0.585
5747-PMBSQ,0.585
3606-TWKGI,0.585
3473-XIIIT,0.584
4132-KALRO,0.584
4813-HQMGZ,0.584
0330-IVZHA,0.584
5052-PNLOS,0.584
7479-NITWS,0.584
2397-BRLOM,0.584
9094-AZPHK,0.584
3496-LFSZU,0.584
4060-LDNLU,0.583
7537-RBWEA,0.583
8263-JQAIK,0.583
0661-XEYAN,0.583
1475-VWVDO,0.583
9136-ALYBR,0.583
6032-IGALN,0.583
1496-GGSUK,0.583
9494-MRNYX,0.582
3663-MITLP,0.582
6198-RTPMF,0.582
4351-QLCSU,0.582
5879-SESNB,0.582
8622-ZLFKO,0.581
4445-ZJNMU,0.581
5419-CONWX,0.581
3372-KWFBM,0.581
6390-DSAZX,0.58
8280-MQRQN,0.58
2984-MIIZL,0.58
4572-DVCGN,0.58
8010-EZLOU,0.58
0875-CABNR,0.58
2187-PKZAY,0.58
8705-WZCYL,0.579
2135-RXIHG,0.579
9734-YWGEX,0.579
4983-CCWMC,0.579
8433-WXGNA,0.579
5091-HFAZW,0.579
4559-UWIHT,0.579
9025-AOMKI,0.579
5077-DXTCG,0.579
3908-BLSYF,0.579
9121-PHQSR,0.579
0529-ONKER,0.579
4583-PARNH,0.579
2612-RANWT,0.578
4503-BDXBD,0.578
2919-HBCJO,0.578
2482-CZGBB,0.578
4854-CIDCF,0.578
0378-TOVMS,0.578
7590-VHVEG,0.578
1251-STYSZ,0.578
0224-RLWWD,0.578
9172-ANCRX,0.578
4505-EXZHB,0.578
9540-JYROE,0.578
7295-JOMMD,0.577
6166-ILMNY,0.577
1342-JPNKI,0.577
6833-JMZYP,0.576
3292-PBZEJ,0.576
6328-ZPBGN,0.576
7854-FOKSF,0.576
4566-NECEV,0.576
7384-GHBPI,0.576
2962-XPMCQ,0.575
8111-RKSPX,0.575
9185-TQCVP,0.575
4919-MOAVT,0.575
2025-JKFWI,0.575
0506-LVNGN,0.574
1522-VVDMG,0.573
9752-ZNQUT,0.573
2344-JMOGN,0.573
1660-HSOOQ,0.573
4367-NHWMM,0.573
5047-LHVLY,0.573
8443-WVPSS,0.573
0772-GYEQQ,0.573
4385-GZQXV,0.573
2774-LVQUS,0.572
7912-SYRQT,0.572
1196-AMORA,0.572
4480-QQRHC,0.572
7065-YUNRY,0.571
5696-QURRL,0.571
6127-IYJOZ,0.571
9214-EKVXR,0.571
3165-HDOEW,0.571
0927-LCSMG,0.571
1513-XNPPH,0.571
7663-RGWBC,0.571
2275-RBYQS,0.571
8519-IMDHU,0.571
7089-IVVAZ,0.571
9117-SHLZX,0.571
5133-POWUA,0.571
8710-YGLWG,0.571
8510-AWCXC,0.571
4749-VFKVB,0.571
5692-FPTAH,0.571
3566-HJGPK,0.571
6595-COKXZ,0.571
2608-BHKFN,0.57
0388-EOPEX,0.57
0958-YHXGP,0.57
9947-OTFQU,0.57
7206-PQBBZ,0.57
8541-QVFKM,0.57
1010-DIAUQ,0.57
5908-QMGOE,0.569
4671-LXRDQ,0.569
3841-CONLJ,0.569
1465-VINDH,0.569
5931-FLJJF,0.569
0495-ZBNGW,0.569
4298-OYIFC,0.568
2959-FENLU,0.568
3096-IZETN,0.567
1583-IHQZE,0.567
3703-VAVCL,0.567
8337-MSSXB,0.567
5989-PGKJB,0.567
5868-CZJDR,0.567
1571-SAVHK,0.567
5520-FVEWJ,0.566
6128-CZOMY,0.566
1731-TVIUK,0.566
6959-UWKHF,0.566
8861-HGGKB,0.566
4373-VVHQL,0.566
0023-XUOPT,0.566
9330-IJWIO,0.566
2038-OEQZH,0.566
5976-JCJRH,0.565
5357-TZHPP,0.565
9773-PEQBZ,0.565
5935-FCCNB,0.565
1112-CUNAO,0.565
4706-AXVKM,0.565
7315-WYOAW,0.564
8270-RKSAP,0.564
8617-ENBDS,0.564
1268-ASBGA,0.564
9430-FRQOC,0.564
2955-BJZHG,0.564
9398-MMQTO,0.563
6100-QQHEB,0.563
4959-JOSRX,0.562
4741-WWJQZ,0.562
0581-BXBUB,0.562
3440-JPSCL,0.561
0082-LDZUE,0.561
7994-UYIVZ,0.561
8642-GVWRF,0.561
0125-LZQXK,0.561
4237-RLAQD,0.561
0887-HJGAR,0.561
8950-MTZNV,0.561
5271-DBYSJ,0.56
9102-IAYHT,0.56
0135-NMXAP,0.56
2799-ARNLO,0.558
3916-NRPAP,0.558
3703-KBKZP,0.558
6906-ANDWJ,0.557
8417-FMLZI,0.557
7242-QZLXF,0.557
2862-PFNIK,0.557
6379-RXJRQ,0.557
3278-FSIXX,0.557
4822-NGOCH,0.556
3914-FDRHP,0.556
4184-TJFAN,0.556
7786-WBJYI,0.556
7952-OBOYL,0.555
9506-UXUSK,0.555
0306-JAELE,0.555
1845-ZLLIG,0.555
5895-QSXOD,0.555
7668-XCFYV,0.554
1384-RCUXW,0.554
2154-KVJFF,0.554
8180-AKMJV,0.553
2696-NARTR,0.553
4652-NNHNY,0.553
3334-CTHOL,0.553
3961-SXAXY,0.553
4847-QNOKA,0.553
0793-TWELN,0.552
9921-ZVRHG,0.552
6215-NQCPY,0.552
4369-HTUIF,0.552
2694-CIUMO,0.552
9625-QSTYE,0.551
6432-TWQLB,0.551
8445-DNBAE,0.551
4361-JEIVL,0.551
7901-HXJVA,0.551
7841-TZDMQ,0.551
6689-KXGBO,0.551
5364-EVNIB,0.551
3538-WZPHD,0.551
9576-ANLXO,0.551
1406-PUQVY,0.55
7321-PKUYW,0.55
2398-YPMUR,0.55
9058-CBREO,0.549
0219-YTZUE,0.549
8481-YYXWG,0.549
4536-PLEQY,0.549
4236-XPXAV,0.549
2058-DCJBE,0.549
2103-ZRXFN,0.549
6719-OXYBR,0.549
7562-UXTPG,0.549
8584-KMVXD,0.549
3627-FCRDW,0.548
1792-UXAFY,0.548
6705-LXORM,0.548
2501-XWWTZ,0.548
3751-KTZEL,0.548
0018-NYROU,0.548
8802-UNOJF,0.548
4195-NZGTA,0.547
3518-PZXZQ,0.547
9734-UYXQI,0.547
0612-RTZZA,0.547
9227-LUNBG,0.547
6034-YMTOB,0.546
2325-NBPZG,0.546
3799-ISUZQ,0.546
4727-MCYZG,0.546
3999-QGRJH,0.545
1092-GANHU,0.545
2372-HWUHI,0.544
9992-UJOEL,0.544
7760-OYPDY,0.544
0139-IVFJG,0.543
3946-MHCZW,0.543
9272-LSVYH,0.543
0404-SWRVG,0.543
3926-CUQZX,0.542
6650-VJONK,0.542
0940-OUQEC,0.542
4547-KQRTM,0.542
7442-YGZFK,0.542
6330-JKLPC,0.542
4817-QRJSX,0.542
1262-OPMFY,0.542
6907-FLBER,0.541
3106-ULWFW,0.541
2207-NHRJK,0.541
5968-VXZLG,0.541
5138-WVKYJ,0.541
3627-FHKBK,0.541
9283-LZQOH,0.541
6956-SMUCM,0.541
9638-JIQYA,0.54
7225-CBZPL,0.54
4349-GFQHK,0.54
0616-ATFGB,0.54
9796-BPKIW,0.539
0570-BFQHT,0.539
8020-BWHYL,0.539
9274-UARKJ,0.539
0709-TVGUR,0.539
5183-SNMJQ,0.539
1658-TJVOA,0.539
1391-UBDAR,0.538
4547-LYTDD,0.538
7410-YTJIK,0.538
4137-BTIKL,0.538
6778-YSNIH,0.538
4059-IIEBK,0.537
5482-PLVPE,0.537
8035-PWSEV,0.537
0365-BZUWY,0.537
2189-WWOEW,0.536
4373-MAVJG,0.536
3223-DWFIO,0.536
5365-LLFYV,0.536
0378-NHQXU,0.536
1078-TDCRN,0.535
1942-OQFRW,0.535
7825-GKXMW,0.535
7503-QQRVF,0.535
5552-ZNFSJ,0.535
2951-QOQTK,0.535
4587-NUKOX,0.535
3629-ZNKXA,0.535
8080-DDEMJ,0.535
7359-PTSXY,0.535
1963-SVUCV,0.535
1612-EOHDH,0.535
6583-KQJLK,0.535
9436-ZBZCT,0.535
3365-SAIGS,0.534
5599-HVLTW,0.534
1875-QIVME,0.534
1728-BQDMA,0.534
0322-CHQRU,0.534
8837-VVWLQ,0.534
4546-FOKWR,0.534
5405-ZMYXQ,0.533
2311-QYMUQ,0.533
1965-DDBWU,0.533
8519-QJGJD,0.533
1624-WOIWJ,0.533
6905-NIQIN,0.533
2079-FBMZK,0.532
7615-ESMYF,0.532
9093-FPDLG,0.532
8128-YVJRG,0.531
0876-WDUUZ,0.531
4815-GBTCD,0.531
9741-YLNTD,0.531
8260-NGFNY,0.529
3439-GVUSX,0.529
9895-VFOXH,0.529
6158-HDPXZ,0.529
9907-SWKKF,0.529
3992-YWPKO,0.529
0315-LVCRK,0.529
1907-UBQFC,0.529
0196-JTUQI,0.528
3904-UKFRE,0.528
